Month-Day,2023
06-01,9.426345
06-02,9.697741
06-03,9.968196
06-04,9.994556
06-05,9.893745
06-06,10.033213
06-07,10.513478
06-08,10.751928
06-09,10.882782
06-10,10.887668
06-11,10.71566
06-12,10.59873
06-13,10.350447
06-14,10.345183
06-15,10.429848
06-16,10.630899
06-17,10.8030205
06-18,11.070705
06-19,11.305689
06-20,11.25293
06-21,11.437447
06-22,11.660325
06-23,11.972377
06-24,12.087062
06-25,12.384847
06-26,12.598753
06-27,12.545846
06-28,12.65501
06-29,12.651536
06-30,12.878263
07-01,12.986449
07-02,13.594429
07-03,13.6985855
07-04,13.45737
07-05,13.519533
07-06,13.991761
07-07,13.994054
07-08,13.72952
07-09,13.390939
07-10,13.467481
07-11,13.5898695
07-12,13.60423
07-13,13.138302
07-14,12.871287
07-15,12.954493
07-16,13.175085
07-17,13.433305
07-18,13.861222
07-19,13.906325
07-20,14.136032
07-21,14.217629
07-22,14.231606
07-23,14.17792
07-24,14.132192
07-25,14.370257
07-26,14.566648
07-27,14.757563
07-28,14.844307
07-29,15.033354
07-30,15.012412
07-31,14.928734
08-01,15.0035
08-02,15.004256
08-03,14.826154
08-04,14.650729
08-05,14.469715
08-06,14.325726
08-07,14.283866
08-08,14.413371
08-09,14.688675
08-10,14.501752
08-11,14.31279
08-12,14.113062
08-13,14.105078
08-14,14.434964
08-15,14.448311
08-16,14.307178
08-17,14.116719
08-18,13.613445
08-19,13.311293
08-20,12.990169
08-21,13.126088
08-22,12.900822
08-23,12.744043
08-24,12.797626
08-25,12.805537
08-26,12.894728
08-27,12.9867525
08-28,13.039316
08-29,12.7798195
08-30,12.93815
08-31,12.673666
09-01,11.92027
09-02,11.619063
09-03,11.311284
09-04,11.161145
09-05,11.119084
09-06,10.99861
09-07,10.921558
09-08,10.791975
09-09,10.805768
09-10,10.894902
09-11,11.050201
09-12,10.914188
09-13,10.719214
09-14,10.61241
09-15,10.4660845
09-16,10.243398
09-17,10.016357
09-18,9.699505
09-19,9.491845
09-20,9.3235445
09-21,9.641734
09-22,9.679316
09-23,9.542669
09-24,9.360997
09-25,9.235504
09-26,8.676009
09-27,8.513735
09-28,8.458055
09-29,8.34427
09-30,7.868529
