"date","avg_temp"
2023-06-01,12.7842105263158
2023-06-02,12.4157894736842
2023-06-03,13.6157894736842
2023-06-04,14.1131578947368
2023-06-05,13.8078947368421
2023-06-06,13.3394736842105
2023-06-07,13.5684210526316
2023-06-08,14.0289473684211
2023-06-09,16.0342105263158
2023-06-10,17.5263157894737
2023-06-11,17.5789473684211
2023-06-12,17.4842105263158
2023-06-13,18.5236842105263
2023-06-14,18.3368421052632
2023-06-15,17.9315789473684
2023-06-16,17.9684210526316
2023-06-17,17.5105263157895
2023-06-18,17.0947368421053
2023-06-19,17.3131578947368
2023-06-20,17.2210526315789
2023-06-21,17.2736842105263
2023-06-22,17.1894736842105
2023-06-23,17.4157894736842
2023-06-24,19.3157894736842
2023-06-25,18.6405405405405
2023-06-26,15.8157894736842
2023-06-27,16.2552631578947
2023-06-28,16.6184210526316
2023-06-29,15.2868421052632
2023-06-30,15.0657894736842
2023-07-01,15.6131578947368
2023-07-02,14.3342105263158
2023-07-03,13.9763157894737
2023-07-04,13.6684210526316
2023-07-05,13.8684210526316
2023-07-06,15.0526315789474
2023-07-07,18.7684210526316
2023-07-08,18.8894736842105
2023-07-09,16.7868421052632
2023-07-10,16.55
2023-07-11,16.3157894736842
2023-07-12,15.5315789473684
2023-07-13,15.3131578947368
2023-07-14,15.7368421052632
2023-07-15,15.9710526315789
2023-07-16,15.0552631578947
2023-07-17,14.75
2023-07-18,15.0947368421053
2023-07-19,15.1289473684211
2023-07-20,14.4157894736842
2023-07-21,14.2815789473684
2023-07-22,15.1157894736842
2023-07-23,15.7315789473684
2023-07-24,14.3473684210526
2023-07-25,14.0973684210526
2023-07-26,14.9631578947368
2023-07-27,16.5394736842105
2023-07-28,16.7105263157895
2023-07-29,16.2315789473684
2023-07-30,15.6710526315789
2023-07-31,15.8026315789474
2023-08-01,15.6157894736842
2023-08-02,15.5236842105263
2023-08-03,15.2947368421053
2023-08-04,14.3289473684211
2023-08-05,13.4789473684211
2023-08-06,14.0684210526316
2023-08-07,14.0052631578947
2023-08-08,14.5631578947368
2023-08-09,16.5184210526316
2023-08-10,18.4078947368421
2023-08-11,18.0789473684211
2023-08-12,16.8789473684211
2023-08-13,16.3131578947368
2023-08-14,16.4631578947368
2023-08-15,16.0236842105263
2023-08-16,16.2078947368421
2023-08-17,17.1894736842105
2023-08-18,17.6605263157895
2023-08-19,18.1552631578947
2023-08-20,17.6
2023-08-21,17.1868421052632
2023-08-22,17.0921052631579
2023-08-23,16.5947368421053
2023-08-24,16.0868421052632
2023-08-25,14.5605263157895
2023-08-26,14.2894736842105
2023-08-27,14.1
2023-08-28,14.5526315789474
2023-08-29,14.2
2023-08-30,13.7447368421053
2023-08-31,14.0605263157895
2023-09-01,15.5578947368421
2023-09-02,16.2105263157895
2023-09-03,17.7421052631579
2023-09-04,18.8763157894737
2023-09-05,18.9236842105263
2023-09-06,19.4947368421053
2023-09-07,20.2631578947368
2023-09-08,20.4842105263158
2023-09-09,20.6
2023-09-10,19.0447368421053
2023-09-11,16.7421052631579
2023-09-12,14.3
2023-09-13,13.3684210526316
2023-09-14,14.6789473684211
2023-09-15,14.3210526315789
2023-09-16,14.6973684210526
2023-09-17,15.25
2023-09-18,14.3578947368421
2023-09-19,13.7
2023-09-20,15.1526315789474
2023-09-21,12.2947368421053
2023-09-22,11.5605263157895
2023-09-23,11.7657894736842
2023-09-24,15.1684210526316
2023-09-25,15.5868421052632
2023-09-26,15.0368421052632
2023-09-27,14.8052631578947
2023-09-28,14.6394736842105
2023-09-29,14.2
2023-09-30,13.2026315789474
2023-10-01,15.9315789473684
