"tavg","region","id","date"
20.6,"USA","USW00003870",2023-06-01
22.3,"USA","USW00003870",2023-06-02
22.7,"USA","USW00003870",2023-06-03
22.3,"USA","USW00003870",2023-06-04
19.9,"USA","USW00003870",2023-06-05
22.6,"USA","USW00003870",2023-06-06
21.4,"USA","USW00003870",2023-06-07
20.8,"USA","USW00003870",2023-06-08
20,"USA","USW00003870",2023-06-09
20.2,"USA","USW00003870",2023-06-10
20.3,"USA","USW00003870",2023-06-11
22.6,"USA","USW00003870",2023-06-12
20.6,"USA","USW00003870",2023-06-13
21.2,"USA","USW00003870",2023-06-14
22.5,"USA","USW00003870",2023-06-15
23.3,"USA","USW00003870",2023-06-16
23.3,"USA","USW00003870",2023-06-17
23.3,"USA","USW00003870",2023-06-18
22.5,"USA","USW00003870",2023-06-19
23.1,"USA","USW00003870",2023-06-20
19.9,"USA","USW00003870",2023-06-21
17.8,"USA","USW00003870",2023-06-22
22.3,"USA","USW00003870",2023-06-23
22.6,"USA","USW00003870",2023-06-24
23.8,"USA","USW00003870",2023-06-25
23.7,"USA","USW00003870",2023-06-26
25.8,"USA","USW00003870",2023-06-27
24.6,"USA","USW00003870",2023-06-28
24.9,"USA","USW00003870",2023-06-29
25.1,"USA","USW00003870",2023-06-30
26.2,"USA","USW00003870",2023-07-01
26.4,"USA","USW00003870",2023-07-02
26.7,"USA","USW00003870",2023-07-03
26.9,"USA","USW00003870",2023-07-04
24.2,"USA","USW00003870",2023-07-05
26.3,"USA","USW00003870",2023-07-06
25.7,"USA","USW00003870",2023-07-07
26.7,"USA","USW00003870",2023-07-08
25.9,"USA","USW00003870",2023-07-09
24.1,"USA","USW00003870",2023-07-10
25.4,"USA","USW00003870",2023-07-11
25.8,"USA","USW00003870",2023-07-12
27.3,"USA","USW00003870",2023-07-13
27.8,"USA","USW00003870",2023-07-14
28.1,"USA","USW00003870",2023-07-15
26.9,"USA","USW00003870",2023-07-16
25.7,"USA","USW00003870",2023-07-17
26.5,"USA","USW00003870",2023-07-18
26.1,"USA","USW00003870",2023-07-19
24.8,"USA","USW00003870",2023-07-20
25.4,"USA","USW00003870",2023-07-21
24.3,"USA","USW00003870",2023-07-22
24.8,"USA","USW00003870",2023-07-23
23.9,"USA","USW00003870",2023-07-24
26.1,"USA","USW00003870",2023-07-25
26.4,"USA","USW00003870",2023-07-26
28.2,"USA","USW00003870",2023-07-27
28.4,"USA","USW00003870",2023-07-28
26.2,"USA","USW00003870",2023-07-29
24.6,"USA","USW00003870",2023-07-30
25.3,"USA","USW00003870",2023-07-31
25.1,"USA","USW00003870",2023-08-01
24.6,"USA","USW00003870",2023-08-02
23.1,"USA","USW00003870",2023-08-03
24.7,"USA","USW00003870",2023-08-04
25.6,"USA","USW00003870",2023-08-05
26.8,"USA","USW00003870",2023-08-06
26.1,"USA","USW00003870",2023-08-07
24.4,"USA","USW00003870",2023-08-08
24.3,"USA","USW00003870",2023-08-09
24.6,"USA","USW00003870",2023-08-10
24.3,"USA","USW00003870",2023-08-11
