"tavg","region","id","date"
26,"USA","USW00003870",2023-08-12
25.4,"USA","USW00003870",2023-08-13
28.1,"USA","USW00003870",2023-08-14
27.9,"USA","USW00003870",2023-08-15
24.3,"USA","USW00003870",2023-08-16
24.3,"USA","USW00003870",2023-08-17
24.6,"USA","USW00003870",2023-08-18
23.2,"USA","USW00003870",2023-08-19
24.2,"USA","USW00003870",2023-08-20
26.6,"USA","USW00003870",2023-08-21
27.3,"USA","USW00003870",2023-08-22
26,"USA","USW00003870",2023-08-23
25.6,"USA","USW00003870",2023-08-24
27.6,"USA","USW00003870",2023-08-25
29.3,"USA","USW00003870",2023-08-26
27.2,"USA","USW00003870",2023-08-27
25.7,"USA","USW00003870",2023-08-28
24.7,"USA","USW00003870",2023-08-29
23.9,"USA","USW00003870",2023-08-30
24,"USA","USW00003870",2023-08-31
22.4,"USA","USW00003870",2023-09-01
21.5,"USA","USW00003870",2023-09-02
23.2,"USA","USW00003870",2023-09-03
24.8,"USA","USW00003870",2023-09-04
26.3,"USA","USW00003870",2023-09-05
27.6,"USA","USW00003870",2023-09-06
27,"USA","USW00003870",2023-09-07
23,"USA","USW00003870",2023-09-08
22.7,"USA","USW00003870",2023-09-09
22.9,"USA","USW00003870",2023-09-10
23.4,"USA","USW00003870",2023-09-11
24.1,"USA","USW00003870",2023-09-12
23.2,"USA","USW00003870",2023-09-13
22.7,"USA","USW00003870",2023-09-14
21.4,"USA","USW00003870",2023-09-15
21.4,"USA","USW00003870",2023-09-16
20.3,"USA","USW00003870",2023-09-17
19.8,"USA","USW00003870",2023-09-18
18.9,"USA","USW00003870",2023-09-19
19.6,"USA","USW00003870",2023-09-20
19.9,"USA","USW00003870",2023-09-21
19.8,"USA","USW00003870",2023-09-22
20.2,"USA","USW00003870",2023-09-23
21.7,"USA","USW00003870",2023-09-24
22.5,"USA","USW00003870",2023-09-25
21.6,"USA","USW00003870",2023-09-26
19.8,"USA","USW00003870",2023-09-27
18.3,"USA","USW00003870",2023-09-28
20,"USA","USW00003870",2023-09-29
21.2,"USA","USW00003870",2023-09-30
22.1,"USA","USW00003870",2023-10-01
25.1,"USA","USW00003945",2023-06-01
24.8,"USA","USW00003945",2023-06-02
25.2,"USA","USW00003945",2023-06-03
25.7,"USA","USW00003945",2023-06-04
25.3,"USA","USW00003945",2023-06-05
22.9,"USA","USW00003945",2023-06-06
24.8,"USA","USW00003945",2023-06-07
22.2,"USA","USW00003945",2023-06-08
20.9,"USA","USW00003945",2023-06-09
22.7,"USA","USW00003945",2023-06-10
19.7,"USA","USW00003945",2023-06-11
17.8,"USA","USW00003945",2023-06-12
19.7,"USA","USW00003945",2023-06-13
22.6,"USA","USW00003945",2023-06-14
25,"USA","USW00003945",2023-06-15
25.6,"USA","USW00003945",2023-06-16
23.6,"USA","USW00003945",2023-06-17
23.8,"USA","USW00003945",2023-06-18
24.1,"USA","USW00003945",2023-06-19
25.6,"USA","USW00003945",2023-06-20
25.1,"USA","USW00003945",2023-06-21
25.4,"USA","USW00003945",2023-06-22
26.7,"USA","USW00003945",2023-06-23
27.6,"USA","USW00003945",2023-06-24
28.7,"USA","USW00003945",2023-06-25
25.1,"USA","USW00003945",2023-06-26
24.4,"USA","USW00003945",2023-06-27
25.6,"USA","USW00003945",2023-06-28
29.7,"USA","USW00003945",2023-06-29
29.2,"USA","USW00003945",2023-06-30
27.6,"USA","USW00003945",2023-07-01
24,"USA","USW00003945",2023-07-02
26.3,"USA","USW00003945",2023-07-03
28.1,"USA","USW00003945",2023-07-04
28.2,"USA","USW00003945",2023-07-05
25.2,"USA","USW00003945",2023-07-06
23.7,"USA","USW00003945",2023-07-07
23.4,"USA","USW00003945",2023-07-08
22.9,"USA","USW00003945",2023-07-09
25.3,"USA","USW00003945",2023-07-10
27.4,"USA","USW00003945",2023-07-11
28.7,"USA","USW00003945",2023-07-12
25.7,"USA","USW00003945",2023-07-13
28.8,"USA","USW00003945",2023-07-14
25.1,"USA","USW00003945",2023-07-15
26.1,"USA","USW00003945",2023-07-16
25.7,"USA","USW00003945",2023-07-17
22.4,"USA","USW00003945",2023-07-18
25.6,"USA","USW00003945",2023-07-19
28.4,"USA","USW00003945",2023-07-20
23.6,"USA","USW00003945",2023-07-21
23.9,"USA","USW00003945",2023-07-22
26,"USA","USW00003945",2023-07-23
25.9,"USA","USW00003945",2023-07-24
27.6,"USA","USW00003945",2023-07-25
30.1,"USA","USW00003945",2023-07-26
31.4,"USA","USW00003945",2023-07-27
31.3,"USA","USW00003945",2023-07-28
29.6,"USA","USW00003945",2023-07-29
25.6,"USA","USW00003945",2023-07-30
24.7,"USA","USW00003945",2023-07-31
24.2,"USA","USW00003945",2023-08-01
24.7,"USA","USW00003945",2023-08-02
25.4,"USA","USW00003945",2023-08-03
25.8,"USA","USW00003945",2023-08-04
24.9,"USA","USW00003945",2023-08-05
25,"USA","USW00003945",2023-08-06
23.7,"USA","USW00003945",2023-08-07
23.1,"USA","USW00003945",2023-08-08
22.8,"USA","USW00003945",2023-08-09
23.6,"USA","USW00003945",2023-08-10
25.7,"USA","USW00003945",2023-08-11
27,"USA","USW00003945",2023-08-12
23.8,"USA","USW00003945",2023-08-13
23.4,"USA","USW00003945",2023-08-14
20.2,"USA","USW00003945",2023-08-15
20.9,"USA","USW00003945",2023-08-16
22.4,"USA","USW00003945",2023-08-17
21.4,"USA","USW00003945",2023-08-18
24,"USA","USW00003945",2023-08-19
29.7,"USA","USW00003945",2023-08-20
29.8,"USA","USW00003945",2023-08-21
29.6,"USA","USW00003945",2023-08-22
29.9,"USA","USW00003945",2023-08-23
30.2,"USA","USW00003945",2023-08-24
30.8,"USA","USW00003945",2023-08-25
26.2,"USA","USW00003945",2023-08-26
23.1,"USA","USW00003945",2023-08-27
22.3,"USA","USW00003945",2023-08-28
23.4,"USA","USW00003945",2023-08-29
23.4,"USA","USW00003945",2023-08-30
19.6,"USA","USW00003945",2023-08-31
20.4,"USA","USW00003945",2023-09-01
22.4,"USA","USW00003945",2023-09-02
24.8,"USA","USW00003945",2023-09-03
27.6,"USA","USW00003945",2023-09-04
25.1,"USA","USW00003945",2023-09-05
22.8,"USA","USW00003945",2023-09-06
19.9,"USA","USW00003945",2023-09-07
19.5,"USA","USW00003945",2023-09-08
19.1,"USA","USW00003945",2023-09-09
20.7,"USA","USW00003945",2023-09-10
20.6,"USA","USW00003945",2023-09-11
19.9,"USA","USW00003945",2023-09-12
18.9,"USA","USW00003945",2023-09-13
20.6,"USA","USW00003945",2023-09-14
20.2,"USA","USW00003945",2023-09-15
19.3,"USA","USW00003945",2023-09-16
17.7,"USA","USW00003945",2023-09-17
18.7,"USA","USW00003945",2023-09-18
21.2,"USA","USW00003945",2023-09-19
20.2,"USA","USW00003945",2023-09-20
19.6,"USA","USW00003945",2023-09-21
22.8,"USA","USW00003945",2023-09-22
22.6,"USA","USW00003945",2023-09-23
22.4,"USA","USW00003945",2023-09-24
22.3,"USA","USW00003945",2023-09-25
22,"USA","USW00003945",2023-09-26
21.8,"USA","USW00003945",2023-09-27
21.5,"USA","USW00003945",2023-09-28
24,"USA","USW00003945",2023-09-29
25.5,"USA","USW00003945",2023-09-30
25.2,"USA","USW00003945",2023-10-01
28.7,"USA","USW00012836",2023-06-01
28,"USA","USW00012836",2023-06-02
28.7,"USA","USW00012836",2023-06-03
28.3,"USA","USW00012836",2023-06-04
28.8,"USA","USW00012836",2023-06-05
27.9,"USA","USW00012836",2023-06-06
28.8,"USA","USW00012836",2023-06-07
29.2,"USA","USW00012836",2023-06-08
28.9,"USA","USW00012836",2023-06-09
29,"USA","USW00012836",2023-06-10
29.4,"USA","USW00012836",2023-06-11
29.5,"USA","USW00012836",2023-06-12
29.8,"USA","USW00012836",2023-06-13
30.1,"USA","USW00012836",2023-06-14
30.2,"USA","USW00012836",2023-06-15
30.8,"USA","USW00012836",2023-06-16
30.8,"USA","USW00012836",2023-06-17
30.2,"USA","USW00012836",2023-06-18
30.7,"USA","USW00012836",2023-06-19
30.4,"USA","USW00012836",2023-06-20
30.5,"USA","USW00012836",2023-06-21
30.4,"USA","USW00012836",2023-06-22
31,"USA","USW00012836",2023-06-23
31,"USA","USW00012836",2023-06-24
28.8,"USA","USW00012836",2023-06-25
28.9,"USA","USW00012836",2023-06-26
30.6,"USA","USW00012836",2023-06-27
31.3,"USA","USW00012836",2023-06-28
30.9,"USA","USW00012836",2023-06-29
29.9,"USA","USW00012836",2023-06-30
29.9,"USA","USW00012836",2023-07-01
30.4,"USA","USW00012836",2023-07-02
31.1,"USA","USW00012836",2023-07-03
31.1,"USA","USW00012836",2023-07-04
31,"USA","USW00012836",2023-07-05
30.9,"USA","USW00012836",2023-07-06
30.7,"USA","USW00012836",2023-07-07
30.9,"USA","USW00012836",2023-07-08
31,"USA","USW00012836",2023-07-09
31.2,"USA","USW00012836",2023-07-10
31.3,"USA","USW00012836",2023-07-11
31.6,"USA","USW00012836",2023-07-12
31.4,"USA","USW00012836",2023-07-13
31.6,"USA","USW00012836",2023-07-14
31.2,"USA","USW00012836",2023-07-15
31.2,"USA","USW00012836",2023-07-16
31.4,"USA","USW00012836",2023-07-17
31.7,"USA","USW00012836",2023-07-18
30.9,"USA","USW00012836",2023-07-19
31.4,"USA","USW00012836",2023-07-20
31.2,"USA","USW00012836",2023-07-21
31.4,"USA","USW00012836",2023-07-22
31.4,"USA","USW00012836",2023-07-23
31.7,"USA","USW00012836",2023-07-24
32.1,"USA","USW00012836",2023-07-25
28.6,"USA","USW00012836",2023-07-26
29.3,"USA","USW00012836",2023-07-27
30.1,"USA","USW00012836",2023-07-28
30.7,"USA","USW00012836",2023-07-29
30.6,"USA","USW00012836",2023-07-30
30.6,"USA","USW00012836",2023-07-31
31.4,"USA","USW00012836",2023-08-01
31.2,"USA","USW00012836",2023-08-02
30.9,"USA","USW00012836",2023-08-03
30.8,"USA","USW00012836",2023-08-04
31.3,"USA","USW00012836",2023-08-05
31.6,"USA","USW00012836",2023-08-06
31.9,"USA","USW00012836",2023-08-07
31.7,"USA","USW00012836",2023-08-08
31.8,"USA","USW00012836",2023-08-09
32,"USA","USW00012836",2023-08-10
32,"USA","USW00012836",2023-08-11
30.7,"USA","USW00012836",2023-08-12
30.6,"USA","USW00012836",2023-08-13
31.7,"USA","USW00012836",2023-08-14
31,"USA","USW00012836",2023-08-15
29.3,"USA","USW00012836",2023-08-16
30.7,"USA","USW00012836",2023-08-17
30.8,"USA","USW00012836",2023-08-18
30.5,"USA","USW00012836",2023-08-19
27.6,"USA","USW00012836",2023-08-20
30.2,"USA","USW00012836",2023-08-21
30.3,"USA","USW00012836",2023-08-22
30.2,"USA","USW00012836",2023-08-23
29.9,"USA","USW00012836",2023-08-24
30.1,"USA","USW00012836",2023-08-25
30.7,"USA","USW00012836",2023-08-26
30.2,"USA","USW00012836",2023-08-27
30.4,"USA","USW00012836",2023-08-28
29.6,"USA","USW00012836",2023-08-29
30.3,"USA","USW00012836",2023-08-30
30.7,"USA","USW00012836",2023-08-31
30.6,"USA","USW00012836",2023-09-01
30.1,"USA","USW00012836",2023-09-02
29.2,"USA","USW00012836",2023-09-03
28.2,"USA","USW00012836",2023-09-04
29.5,"USA","USW00012836",2023-09-05
29.9,"USA","USW00012836",2023-09-06
29.7,"USA","USW00012836",2023-09-07
29.4,"USA","USW00012836",2023-09-08
29.6,"USA","USW00012836",2023-09-09
30,"USA","USW00012836",2023-09-10
30.6,"USA","USW00012836",2023-09-11
31.1,"USA","USW00012836",2023-09-12
31,"USA","USW00012836",2023-09-13
31.6,"USA","USW00012836",2023-09-14
31.3,"USA","USW00012836",2023-09-15
30.4,"USA","USW00012836",2023-09-16
30.7,"USA","USW00012836",2023-09-17
30.6,"USA","USW00012836",2023-09-18
30.2,"USA","USW00012836",2023-09-19
29.3,"USA","USW00012836",2023-09-20
28.7,"USA","USW00012836",2023-09-21
28.6,"USA","USW00012836",2023-09-22
27.9,"USA","USW00012836",2023-09-23
28.2,"USA","USW00012836",2023-09-24
29.3,"USA","USW00012836",2023-09-25
29.4,"USA","USW00012836",2023-09-26
28.7,"USA","USW00012836",2023-09-27
28.3,"USA","USW00012836",2023-09-28
29.6,"USA","USW00012836",2023-09-29
29.7,"USA","USW00012836",2023-09-30
29.3,"USA","USW00012836",2023-10-01
25,"USA","USW00012842",2023-06-01
24.6,"USA","USW00012842",2023-06-02
24.9,"USA","USW00012842",2023-06-03
25.4,"USA","USW00012842",2023-06-04
25.4,"USA","USW00012842",2023-06-05
27.4,"USA","USW00012842",2023-06-06
27.3,"USA","USW00012842",2023-06-07
27.6,"USA","USW00012842",2023-06-08
27.7,"USA","USW00012842",2023-06-09
27.9,"USA","USW00012842",2023-06-10
28.4,"USA","USW00012842",2023-06-11
29,"USA","USW00012842",2023-06-12
29.3,"USA","USW00012842",2023-06-13
29.6,"USA","USW00012842",2023-06-14
29.2,"USA","USW00012842",2023-06-15
28.3,"USA","USW00012842",2023-06-16
29.4,"USA","USW00012842",2023-06-17
27.1,"USA","USW00012842",2023-06-18
29.3,"USA","USW00012842",2023-06-19
28.9,"USA","USW00012842",2023-06-20
25.8,"USA","USW00012842",2023-06-21
26.9,"USA","USW00012842",2023-06-22
28.7,"USA","USW00012842",2023-06-23
28.8,"USA","USW00012842",2023-06-24
29.2,"USA","USW00012842",2023-06-25
29.1,"USA","USW00012842",2023-06-26
29.4,"USA","USW00012842",2023-06-27
29.9,"USA","USW00012842",2023-06-28
30.5,"USA","USW00012842",2023-06-29
30.6,"USA","USW00012842",2023-06-30
30,"USA","USW00012842",2023-07-01
30.5,"USA","USW00012842",2023-07-02
30.2,"USA","USW00012842",2023-07-03
30.7,"USA","USW00012842",2023-07-04
30.5,"USA","USW00012842",2023-07-05
30.3,"USA","USW00012842",2023-07-06
30.6,"USA","USW00012842",2023-07-07
29.2,"USA","USW00012842",2023-07-08
30.2,"USA","USW00012842",2023-07-09
29.5,"USA","USW00012842",2023-07-10
28.2,"USA","USW00012842",2023-07-11
29.9,"USA","USW00012842",2023-07-12
29.8,"USA","USW00012842",2023-07-13
30.2,"USA","USW00012842",2023-07-14
30.6,"USA","USW00012842",2023-07-15
30.3,"USA","USW00012842",2023-07-16
30.1,"USA","USW00012842",2023-07-17
29.2,"USA","USW00012842",2023-07-18
29.5,"USA","USW00012842",2023-07-19
29.2,"USA","USW00012842",2023-07-20
30.7,"USA","USW00012842",2023-07-21
31.4,"USA","USW00012842",2023-07-22
29.8,"USA","USW00012842",2023-07-23
28.7,"USA","USW00012842",2023-07-24
28.7,"USA","USW00012842",2023-07-25
29.9,"USA","USW00012842",2023-07-26
29.1,"USA","USW00012842",2023-07-27
29.6,"USA","USW00012842",2023-07-28
28.9,"USA","USW00012842",2023-07-29
30.7,"USA","USW00012842",2023-07-30
28.7,"USA","USW00012842",2023-07-31
28.3,"USA","USW00012842",2023-08-01
29.8,"USA","USW00012842",2023-08-02
29.3,"USA","USW00012842",2023-08-03
28.8,"USA","USW00012842",2023-08-04
30.7,"USA","USW00012842",2023-08-05
30.6,"USA","USW00012842",2023-08-06
31,"USA","USW00012842",2023-08-07
31.6,"USA","USW00012842",2023-08-08
31.7,"USA","USW00012842",2023-08-09
31.8,"USA","USW00012842",2023-08-10
32.1,"USA","USW00012842",2023-08-11
31.8,"USA","USW00012842",2023-08-12
31.6,"USA","USW00012842",2023-08-13
30.4,"USA","USW00012842",2023-08-14
30.1,"USA","USW00012842",2023-08-15
30.5,"USA","USW00012842",2023-08-16
28.5,"USA","USW00012842",2023-08-17
28.3,"USA","USW00012842",2023-08-18
29.8,"USA","USW00012842",2023-08-19
29.4,"USA","USW00012842",2023-08-20
29.5,"USA","USW00012842",2023-08-21
30.5,"USA","USW00012842",2023-08-22
30.6,"USA","USW00012842",2023-08-23
29.4,"USA","USW00012842",2023-08-24
29.9,"USA","USW00012842",2023-08-25
29.9,"USA","USW00012842",2023-08-26
29.5,"USA","USW00012842",2023-08-27
29.1,"USA","USW00012842",2023-08-28
28.8,"USA","USW00012842",2023-08-29
28.1,"USA","USW00012842",2023-08-30
29.5,"USA","USW00012842",2023-08-31
29.8,"USA","USW00012842",2023-09-01
28.6,"USA","USW00012842",2023-09-02
28.6,"USA","USW00012842",2023-09-03
28.2,"USA","USW00012842",2023-09-04
29.2,"USA","USW00012842",2023-09-05
29.1,"USA","USW00012842",2023-09-06
29.2,"USA","USW00012842",2023-09-07
27.7,"USA","USW00012842",2023-09-08
26.8,"USA","USW00012842",2023-09-09
28.7,"USA","USW00012842",2023-09-10
29.6,"USA","USW00012842",2023-09-11
29.1,"USA","USW00012842",2023-09-12
30.3,"USA","USW00012842",2023-09-13
29.4,"USA","USW00012842",2023-09-14
29.1,"USA","USW00012842",2023-09-15
28.4,"USA","USW00012842",2023-09-16
29.2,"USA","USW00012842",2023-09-17
29.6,"USA","USW00012842",2023-09-18
28.3,"USA","USW00012842",2023-09-19
28,"USA","USW00012842",2023-09-20
26.4,"USA","USW00012842",2023-09-21
26.5,"USA","USW00012842",2023-09-22
26.8,"USA","USW00012842",2023-09-23
27.2,"USA","USW00012842",2023-09-24
28.3,"USA","USW00012842",2023-09-25
27.9,"USA","USW00012842",2023-09-26
27.6,"USA","USW00012842",2023-09-27
26.7,"USA","USW00012842",2023-09-28
26.6,"USA","USW00012842",2023-09-29
27.8,"USA","USW00012842",2023-09-30
27.2,"USA","USW00012842",2023-10-01
26.7,"USA","USW00012916",2023-06-01
28.2,"USA","USW00012916",2023-06-02
28.2,"USA","USW00012916",2023-06-03
27.7,"USA","USW00012916",2023-06-04
26.6,"USA","USW00012916",2023-06-05
25.1,"USA","USW00012916",2023-06-06
26.2,"USA","USW00012916",2023-06-07
26.7,"USA","USW00012916",2023-06-08
26.7,"USA","USW00012916",2023-06-09
28.1,"USA","USW00012916",2023-06-10
28.2,"USA","USW00012916",2023-06-11
28.9,"USA","USW00012916",2023-06-12
29.3,"USA","USW00012916",2023-06-13
30.3,"USA","USW00012916",2023-06-14
30.1,"USA","USW00012916",2023-06-15
29.8,"USA","USW00012916",2023-06-16
30.4,"USA","USW00012916",2023-06-17
30.6,"USA","USW00012916",2023-06-18
30.7,"USA","USW00012916",2023-06-19
28.5,"USA","USW00012916",2023-06-20
27.2,"USA","USW00012916",2023-06-21
28.8,"USA","USW00012916",2023-06-22
28.1,"USA","USW00012916",2023-06-23
29.1,"USA","USW00012916",2023-06-24
30.2,"USA","USW00012916",2023-06-25
29.3,"USA","USW00012916",2023-06-26
30.3,"USA","USW00012916",2023-06-27
31.6,"USA","USW00012916",2023-06-28
31.9,"USA","USW00012916",2023-06-29
32.1,"USA","USW00012916",2023-06-30
31.3,"USA","USW00012916",2023-07-01
31.4,"USA","USW00012916",2023-07-02
30.7,"USA","USW00012916",2023-07-03
29.7,"USA","USW00012916",2023-07-04
29.9,"USA","USW00012916",2023-07-05
28.5,"USA","USW00012916",2023-07-06
28.9,"USA","USW00012916",2023-07-07
29.1,"USA","USW00012916",2023-07-08
29.4,"USA","USW00012916",2023-07-09
29.6,"USA","USW00012916",2023-07-10
29.2,"USA","USW00012916",2023-07-11
29.3,"USA","USW00012916",2023-07-12
30.7,"USA","USW00012916",2023-07-13
30.2,"USA","USW00012916",2023-07-14
30.8,"USA","USW00012916",2023-07-15
30.2,"USA","USW00012916",2023-07-16
28.1,"USA","USW00012916",2023-07-17
29.9,"USA","USW00012916",2023-07-18
30.8,"USA","USW00012916",2023-07-19
31.2,"USA","USW00012916",2023-07-20
31.4,"USA","USW00012916",2023-07-21
30.9,"USA","USW00012916",2023-07-22
27.3,"USA","USW00012916",2023-07-23
29.3,"USA","USW00012916",2023-07-24
29.6,"USA","USW00012916",2023-07-25
29.4,"USA","USW00012916",2023-07-26
29.7,"USA","USW00012916",2023-07-27
29.3,"USA","USW00012916",2023-07-28
30,"USA","USW00012916",2023-07-29
30.8,"USA","USW00012916",2023-07-30
31.9,"USA","USW00012916",2023-07-31
32.4,"USA","USW00012916",2023-08-01
30.8,"USA","USW00012916",2023-08-02
30.1,"USA","USW00012916",2023-08-03
31.4,"USA","USW00012916",2023-08-04
31.9,"USA","USW00012916",2023-08-05
32.1,"USA","USW00012916",2023-08-06
32,"USA","USW00012916",2023-08-07
31.7,"USA","USW00012916",2023-08-08
31.9,"USA","USW00012916",2023-08-09
32,"USA","USW00012916",2023-08-10
32,"USA","USW00012916",2023-08-11
31.8,"USA","USW00012916",2023-08-12
31.9,"USA","USW00012916",2023-08-13
31.8,"USA","USW00012916",2023-08-14
32,"USA","USW00012916",2023-08-15
28.9,"USA","USW00012916",2023-08-16
29.2,"USA","USW00012916",2023-08-17
30.7,"USA","USW00012916",2023-08-18
31.1,"USA","USW00012916",2023-08-19
31.7,"USA","USW00012916",2023-08-20
31.6,"USA","USW00012916",2023-08-21
31.3,"USA","USW00012916",2023-08-22
31.2,"USA","USW00012916",2023-08-23
33.1,"USA","USW00012916",2023-08-24
32.1,"USA","USW00012916",2023-08-25
31.1,"USA","USW00012916",2023-08-26
32.4,"USA","USW00012916",2023-08-27
29.8,"USA","USW00012916",2023-08-28
28.1,"USA","USW00012916",2023-08-29
28.9,"USA","USW00012916",2023-08-30
29.8,"USA","USW00012916",2023-08-31
29.7,"USA","USW00012916",2023-09-01
28.8,"USA","USW00012916",2023-09-02
29,"USA","USW00012916",2023-09-03
28.2,"USA","USW00012916",2023-09-04
29.5,"USA","USW00012916",2023-09-05
29.1,"USA","USW00012916",2023-09-06
29.9,"USA","USW00012916",2023-09-07
27.1,"USA","USW00012916",2023-09-08
27.7,"USA","USW00012916",2023-09-09
28.2,"USA","USW00012916",2023-09-10
28.8,"USA","USW00012916",2023-09-11
28.6,"USA","USW00012916",2023-09-12
28.6,"USA","USW00012916",2023-09-13
28.3,"USA","USW00012916",2023-09-14
28.8,"USA","USW00012916",2023-09-15
28.8,"USA","USW00012916",2023-09-16
29.6,"USA","USW00012916",2023-09-17
29.4,"USA","USW00012916",2023-09-18
26.8,"USA","USW00012916",2023-09-19
27.1,"USA","USW00012916",2023-09-20
28.9,"USA","USW00012916",2023-09-21
29.2,"USA","USW00012916",2023-09-22
28.8,"USA","USW00012916",2023-09-23
27.8,"USA","USW00012916",2023-09-24
26.9,"USA","USW00012916",2023-09-25
27.6,"USA","USW00012916",2023-09-26
28.2,"USA","USW00012916",2023-09-27
27.5,"USA","USW00012916",2023-09-28
26.7,"USA","USW00012916",2023-09-29
27.6,"USA","USW00012916",2023-09-30
27.7,"USA","USW00012916",2023-10-01
26.1,"USA","USW00012921",2023-06-01
26.5,"USA","USW00012921",2023-06-02
25.3,"USA","USW00012921",2023-06-03
24.7,"USA","USW00012921",2023-06-04
24.1,"USA","USW00012921",2023-06-05
23.9,"USA","USW00012921",2023-06-06
25.1,"USA","USW00012921",2023-06-07
26.9,"USA","USW00012921",2023-06-08
28.6,"USA","USW00012921",2023-06-09
29.9,"USA","USW00012921",2023-06-10
30.3,"USA","USW00012921",2023-06-11
29.6,"USA","USW00012921",2023-06-12
29.4,"USA","USW00012921",2023-06-13
29.5,"USA","USW00012921",2023-06-14
30.1,"USA","USW00012921",2023-06-15
31.6,"USA","USW00012921",2023-06-16
30.8,"USA","USW00012921",2023-06-17
31.5,"USA","USW00012921",2023-06-18
31.7,"USA","USW00012921",2023-06-19
31.9,"USA","USW00012921",2023-06-20
32.2,"USA","USW00012921",2023-06-21
28.7,"USA","USW00012921",2023-06-22
30.3,"USA","USW00012921",2023-06-23
31,"USA","USW00012921",2023-06-24
31.4,"USA","USW00012921",2023-06-25
32.1,"USA","USW00012921",2023-06-26
32.2,"USA","USW00012921",2023-06-27
31.3,"USA","USW00012921",2023-06-28
30.8,"USA","USW00012921",2023-06-29
30.9,"USA","USW00012921",2023-06-30
31.1,"USA","USW00012921",2023-07-01
29.7,"USA","USW00012921",2023-07-02
30.4,"USA","USW00012921",2023-07-03
30.2,"USA","USW00012921",2023-07-04
30.3,"USA","USW00012921",2023-07-05
28.4,"USA","USW00012921",2023-07-06
27.1,"USA","USW00012921",2023-07-07
29.9,"USA","USW00012921",2023-07-08
31.2,"USA","USW00012921",2023-07-09
31.7,"USA","USW00012921",2023-07-10
31.8,"USA","USW00012921",2023-07-11
32.3,"USA","USW00012921",2023-07-12
32.4,"USA","USW00012921",2023-07-13
32.4,"USA","USW00012921",2023-07-14
32.1,"USA","USW00012921",2023-07-15
31.9,"USA","USW00012921",2023-07-16
32,"USA","USW00012921",2023-07-17
32,"USA","USW00012921",2023-07-18
32.3,"USA","USW00012921",2023-07-19
31.6,"USA","USW00012921",2023-07-20
31.3,"USA","USW00012921",2023-07-21
32.2,"USA","USW00012921",2023-07-22
31.5,"USA","USW00012921",2023-07-23
30,"USA","USW00012921",2023-07-24
